ID,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
1,Как зовут мышонка из мультфильма <Том и Джерри>?,Джерри,Том,Спайк,Буч,Джерри
2,Кто является главным героем видеоигры <Супер Марио>?,Луиджи,Боузер,Марио,Йоши,Марио
3,Какой супергерой носит костюм из паутины?,Бэтмен,Человек-паук,Супермен,Железный человек,Человек-паук
4,Какая из этих книг написана Джоан Роулинг?,Хоббит,Гарри Поттер,Сумерки,Властелин колец,Гарри Поттер
5,Как называется корабль Джека Воробья?,Чёрная Жемчужина,Летучий Голландец,Корабль-призрак,Морская звезда,Чёрная Жемчужина
6,Как звали динозавра из мультфильма <История игрушек>?,Рекс,Барни,Спот,Дино,Рекс
7,Кто написал песню <Thriller>?,Элвис Пресли,Майкл Джексон,Принс,Мадонна,Майкл Джексон
8,Какой супергерой известен как <Человек из стали>?,Флэш,Бэтмен,Супермен,Железный человек,Супермен
9,Как называется волшебная страна в <Хрониках Нарнии>?,Вестерос,Средиземье,Нарния,Оз,Нарния
10,Кто является автором <Шерлока Холмса>?,Агата Кристи,Артур Конан Дойл,Стивен Кинг,Джордж Оруэлл,Артур Конан Дойл
11,Какой фильм сделал фразу <Я вернусь> знаменитой?,Терминатор,Рокки,Чужой,Хищник,Терминатор
12,"Как называется планета, на которой живет Супермен?",Криптон,Марс,Земля,Венера,Криптон
13,Кто является главным героем <Пиратов Карибского моря>?,Уилл Тернер,Джек Воробей,Элизабет Суонн,Барбосса,Джек Воробей
14,Как называется школа магии в <Гарри Поттере>?,Дурмстранг,Хогвартс,Бобатон,Ильверморни,Хогвартс
15,Какой супергерой носит костюм летучей мыши?,Флэш,Человек-паук,Бэтмен,Железный человек,Бэтмен
16,Как называется волшебная палочка у Гарри Поттера?,Палочка Сауна,Палочка Феникса,Палочка Бузины,Палочка Дракона,Палочка Бузины
17,Кто написал <Властелин колец>?,Дж. Р. Р. Толкин,Джоан Роулинг,Джордж Мартин,Стивен Кинг,Дж. Р. Р. Толкин
18,В каком фильме есть персонаж по имени Гэндальф?,Гарри Поттер,Властелин колец,Игра престолов,Звездные войны,Властелин колец
19,Какой персонаж известен как <Король Лев>?,Муфаса,Симба,Тима,Пумба,Симба
20,Кто является главным героем <Звездных войн>?,Люк Скайуокер,Хан Соло,Дарт Вейдер,Йода,Люк Скайуокер
21,Какой мультфильм рассказывает о поисках Немо?,Шрек,В поисках Немо,История игрушек,Король Лев,В поисках Немо
22,Кто является автором песен <Let It Be>?,Элтон Джон,Джон Леннон,Пол Маккартни,Джордж Харрисон,Пол Маккартни
23,Какой известный маг живет на Привычной улице?,Гэндальф,Мерлин,Гарри Поттер,Дамблдор,Гарри Поттер
24,Какой герой носит вибраниумный щит?,Железный человек,Человек-паук,Капитан Америка,Бэтмен,Капитан Америка
25,Какой фильм сделал фразу <У меня есть мечта> знаменитой?,Рокки,Чужой,Терминатор,Унесенные ветром,Рокки
26,"Как называется место, где живут хоббиты?",Нарния,Шир,Вестерос,Хогвартс,Шир
27,Какой мультфильм рассказывает о жизни игрушек?,История игрушек,Шрек,В поисках Немо,Король Лев,История игрушек
28,Какой супергерой известен как <Бог Грома>?,Тор,Локи,Железный человек,Халк,Тор
29,Как зовут напарника Бэтмена?,Робин,Джокер,Пингвин,Загадочник,Робин
30,Какой персонаж носит кольцо всевластия?,Фродо,Гарри,Люк,Джон Сноу,Фродо
31,Кто является автором книги <1984>?,Дж. Р. Р. Толкин,Джордж Оруэлл,Стивен Кинг,Джейн Остин,Джордж Оруэлл
32,Какой фильм рассказывает о борце с преступностью в Готэме?,Железный человек,Бэтмен,Человек-паук,Супермен,Бэтмен
33,Какой супергерой известен как Человек из железа?,Халк,Тор,Железный человек,Капитан Америка,Железный человек
34,Какой мультфильм рассказывает о Шреке?,История игрушек,Шрек,В поисках Немо,Король Лев,Шрек
35,Какой персонаж носит молот Мьёльнир?,Тор,Халк,Железный человек,Капитан Америка,Тор
36,Кто является автором Игры престолов?,Дж. Р. Р. Толкин,Джоан Роулинг,Джордж Мартин,Стивен Кинг,Джордж Мартин
37,Какой фильм сделал фразу <Да прибудет с тобой сила> знаменитой?,Звездные войны,Терминатор,Рокки,Властелин колец,Звездные войны
38,"Как называется мир, где происходит действие <Хоббита>?",Шир,Средиземье,Нарния,Вестерос,Средиземье
39,Какой мультфильм рассказывает о льве по имени Симба?,Шрек,Король Лев,В поисках Немо,История игрушек,Король Лев
40,Какой супергерой известен как <Человек из времени>?,Флэш,Железный человек,Человек-паук,Бэтмен,Флэш
41,"Как называется планета, где живет Люк Скайуокер?",Криптон,Татуин,Земля,Венера,Татуин
42,Кто является главным героем <Властелина колец>?,Фродо,Бильбо,Гэндальф,Сэм,Фродо
43,Какой персонаж известен как <Темный рыцарь>?,Бэтмен,Супермен,Человек-паук,Железный человек,Бэтмен
44,"Как зовут артефакт, который ищет Индиана Джонс?",Кубок огня,Святой Грааль,Камень желаний,Рог изобилия,Святой Грааль
45,Какой супергерой известен как <Король морей>?,Аквамен,Тор,Железный человек,Капитан Америка,Аквамен
46,Какой мультфильм рассказывает о рыбке по имени Дори?,Шрек,История игрушек,В поисках Немо,Король Лев,В поисках Немо
47,Какой герой использует щит в бою?,Железный человек,Человек-паук,Капитан Америка,Бэтмен,Капитан Америка
48,Какой фильм сделал фразу Я твой отец< знаменитой?,Звездные войны,Терминатор,Рокки,Властелин колец,Звездные войны
49,"Как называется мир, где происходит действие <Игры престолов>?",Шир,Средиземье,Нарния,Вестерос,Вестерос
50,Какой мультфильм рассказывает о зеленом огре?,История игрушек,Шрек,В поисках Немо,Король Лев,Шрек
