ID,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
1,В каком виде спорта используется ракетка?,Футбол,Бейсбол,Теннис,Волейбол,Теннис
2,Сколько игроков в футбольной команде на поле?,9,10,11,12,11
3,В каком виде спорта используется клюшка?,Хоккей,Баскетбол,Регби,Футбол,Хоккей
4,"Как называется соревнование по бегу на 42,195 км?",Спринт,Марафон,Триатлон,Декатлон,Марафон
5,В какой стране были проведены первые Олимпийские игры современности?,Франция,Греция,США,Италия,Греция
6,Какой спорт известен как <король спорта>?,Баскетбол,Футбол,Теннис,Гольф,Футбол
7,В каком виде спорта используется термин <эйс>?,Теннис,Баскетбол,Футбол,Волейбол,Теннис
8,Как называется соревнование по плаванию на 100 метров?,Спринт,Заплыв,Эстафета,Фристайл,Фристайл
9,Как называется поверхность для игры в баскетбол?,Поле,Корт,Паркет,Лед,Паркет
10,Какой вид спорта проводится на велотреке?,Шоссейные гонки,BMX,Маунтинбайк,Трековелоспорт,Трековелоспорт
11,Сколько минут длится тайм в футбольном матче?,30,35,40,45,45
12,В каком виде спорта используется термин <хет-трик>?,Футбол,Хоккей,Бейсбол,Все вышеперечисленные,Все вышеперечисленные
13,В каком виде спорта используется термин <оффсайд>?,Баскетбол,Футбол,Волейбол,Теннис,Футбол
14,Как называется победа в трех сетах в теннисе?,Триплет,Хет-трик,Гейм,Матч,Матч
15,В какой стране изобрели регби?,Франция,Новая Зеландия,Англия,Австралия,Англия
16,Какой спорт является национальным в Японии?,Дзюдо,Сумо,Карате,Айкидо,Сумо
17,"Как называется место, где проходят Олимпийские игры?",Стадион,Арена,Олимпийская деревня,Гимназия,Олимпийская деревня
18,Как называется территория для игры в гольф?,Паркет,Поле,Корт,Лед,Поле
19,Как называется удар через сетку в волейболе?,Слэм,Блок,Подавание,Атака,Атака
20,В каком году прошли первые современные Олимпийские игры?,1896,1900,1912,1920,1896
21,Какой вид спорта практикуется на льду с шайбой?,Фигурное катание,Хоккей,Шорт-трек,Керлинг,Хоккей
22,Как называется бег на короткую дистанцию?,Марафон,Спринт,Бег с барьерами,Эстафета,Спринт
23,В каком виде спорта используется термин <питчер>?,Футбол,Бейсбол,Хоккей,Теннис,Бейсбол
24,Какой вид спорта проводится на травяном поле?,Гольф,Баскетбол,Волейбол,Футбол,Футбол
25,Как называется командный вид спорта с овалом?,Регби,Бейсбол,Хоккей,Лакросс,Регби
26,В каком виде спорта используется термин <трехочковый бросок>?,Баскетбол,Волейбол,Футбол,Хоккей,Баскетбол
27,Какой вид спорта связан с кольцом и мячом?,Баскетбол,Волейбол,Гандбол,Теннис,Баскетбол
28,"Как называется игрок, который защищает ворота в футболе?",Нападающий,Полузащитник,Защитник,Вратарь,Вратарь
29,Какой вид спорта проводится на корте?,Футбол,Баскетбол,Теннис,Хоккей,Теннис
30,"Какой вид спорта включает в себя бег, плавание и велосипед?",Декатлон,Триатлон,Пентатлон,Эстафета,Триатлон
31,Как называется финальная игра в турнире?,Полуфинал,Четвертьфинал,Финал,Отборочный,Финал
32,В каком виде спорта используются ворота с сеткой?,Баскетбол,Волейбол,Футбол,Гольф,Футбол
33,Какой вид спорта включает в себя упражнения на брусьях?,Гимнастика,Плавание,Легкая атлетика,Прыжки в воду,Гимнастика
34,Какой вид спорта проводится в бассейне?,Теннис,Плавание,Гольф,Легкая атлетика,Плавание
35,В каком виде спорта игроки используют руки и мяч?,Футбол,Волейбол,Гандбол,Хоккей,Гандбол
36,Как называется соревнование по велосипедному спорту?,Тур де Франс,Вуэльта,Джиро д'Италия,Все вышеперечисленные,Все вышеперечисленные
37,Какой вид спорта включает в себя метание копья?,Бег,Прыжки,Метание,Легкая атлетика,Легкая атлетика
38,Как называется соревнование по прыжкам в высоту?,Спринт,Марафон,Конкур,Легкая атлетика,Легкая атлетика
39,В каком виде спорта используется термин <смешанный стиль>?,Плавание,Фигурное катание,Легкая атлетика,Гимнастика,Плавание
40,Какой вид спорта проводится на ледяной дорожке?,Керлинг,Лыжные гонки,Конькобежный спорт,Биатлон,Конькобежный спорт
41,Какой вид спорта включает в себя игру с мячом и палкой?,Гольф,Бейсбол,Хоккей,Все вышеперечисленные,Все вышеперечисленные
42,"Как называется удар в теннисе, когда мяч не касается земли?",Слайс,Волея,Твист,Свеча,Волея
43,Какой вид спорта практикуется на лыжах и включает стрельбу?,Горнолыжный спорт,Сноубординг,Лыжные гонки,Биатлон,Биатлон
44,Как называется соревнование по борьбе на татами?,Карате,Дзюдо,Айкидо,Самбо,Дзюдо
45,В каком виде спорта используется термин <гол>?,Футбол,Бейсбол,Теннис,Гольф,Футбол
46,Как называется соревнование по легкой атлетике на 10 видов?,Пентатлон,Декатлон,Триатлон,Гептатлон,Декатлон
47,Какой вид спорта практикуется на воде с веслом?,Серфинг,Виндсерфинг,Гребля,Парусный спорт,Гребля
48,Какой вид спорта известен как <большая игра>?,Баскетбол,Футбол,Крикет,Регби,Крикет
49,В каком виде спорта используется термин <подача>?,Теннис,Футбол,Хоккей,Гольф,Теннис
50,Как называется соревнование на велосипеде по пересеченной местности?,Шоссейные гонки,Маунтинбайк,Трековелоспорт,БМХ,Маунтинбайк
