ID,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
1,Какой художник нарисовал Мону Лизу?,Винсент Ван Гог,Леонардо да Винчи,Пабло Пикассо,Клод Моне,Леонардо да Винчи
2,Какая страна известна традиционным танцем фламенко?,Бразилия,Испания,Аргентина,Италия,Испания
3,Какой известный писатель создал Шерлока Холмса?,Чарльз Диккенс,Артур Конан Дойл,Уильям Шекспир,Дж. К. Роулинг,Артур Конан Дойл
4,В какой стране находится Тадж-Махал?,Индия,Пакистан,Бангладеш,Непал,Индия
5,Какой композитор известен Пятой симфонией?,Моцарт,Бетховен,Бах,Шопен,Бетховен
6,Как называется традиционный японский театр?,Кабуки,Опера,Балет,Драма,Кабуки
7,Какая древняя цивилизация построила пирамиды?,Римляне,Греки,Египтяне,Ацтеки,Египтяне
8,Кто автор Гордости и предубеждения?,Эмили Бронте,Джейн Остин,Джордж Элиот,Вирджиния Вульф,Джейн Остин
9,Какой город известен как родина джаза?,Нью-Йорк,Чикаго,Новый Орлеан,Лос-Анджелес,Новый Орлеан
10,"Как называется китайская философия, подчеркивающая гармонию с природой?",Конфуцианство,Даосизм,Буддизм,Синтоизм,Даосизм
11,Какой известный художник отрезал себе ухо?,Винсент ван Гог,Сальвадор Дали,Пабло Пикассо,Энди Уорхол,Винсент ван Гог
12,Какой город славится своим карнавалом?,Рио-де-Жанейро,Венеция,Новый Орлеан,Ницца,Рио-де-Жанейро
13,Какое национальное блюдо Испании?,Пицца,Суши,Паэлья,Тако,Паэлья
14,Кто написал Одиссею?,Гомер,Вергилий,Софокл,Еврипид,Гомер
15,Какой художник известен картиной Звездная ночь?,Пабло Пикассо,Леонардо да Винчи,Клод Моне,Винсент ван Гог,Винсент ван Гог
16,В какой стране зародилось боевое искусство тхэквондо?,Китай,Япония,Таиланд,Южная Корея,Южная Корея
17,Какая столица классической музыки?,Париж,Вена,Берлин,Лондон,Вена
18,Какой фильм получил первый Оскар за лучший фильм?,Унесенные ветром,Крылья,Восход солнца,На Западном фронте без перемен,Крылья
19,Какой известный роман начинается со строки Зовите меня Измаил?,Моби Дик,Старик и море,Великий Гэтсби,1984,Моби Дик
20,Какой город известен своим Оперным театром?,Париж,Милан,Сидней,Нью-Йорк,Сидней
21,Кто считается отцом современной философии?,Платон,Аристотель,Рене Декарт,Сократ,Рене Декарт
22,Национальный флаг какой страны имеет красный круг на белом фоне?,Китай,Япония,Южная Корея,Вьетнам,Япония
23,Кто написал Времена года?,Бах,Моцарт,Вивальди,Бетховен,Вивальди
24,Какая страна известна своими пирамидами?,Мексика,Греция,Индия,Египет,Египет
25,Какая традиционная одежда Шотландии?,Кимоно,Килт,Сари,Пончо,Килт
26,Кто греческий бог моря?,Зевс,Посейдон,Аид,Аполлон,Посейдон
27,Какой город известен как город любви?,Венеция,Рим,Париж,Барселона,Париж
28,Кто автор 1984?,Джордж Оруэлл,Олдос Хаксли,Дж. Р. Р. Толкин,Эрнест Хемингуэй,Джордж Оруэлл
29,Как называется японское искусство складывания фигурок из бумаги?,Оригами,Икебана,Кэндо,Каллиграфия,Оригами
30,Кто известен как отец импрессионизма?,Клод Моне,Эдуар Мане,Поль Сезанн,Пьер Огюст Ренуар,Клод Моне
31,Какая древняя цивилизация известна Колизеем?,Греческая,Римская,Египетская,Майя,Римская
32,Какой художник расписал потолок Сикстинской капеллы?,Леонардо да Винчи,Микеланджело,Рафаэль,Донателло,Микеланджело
33,Какая культура связана с созданием Зодиака?,Греческий,Римский,Китайский,Индийский,Китайский
34,В каком романе есть персонаж 'Аттикус Финч'?,Убить пересмешника,Великий Гэтсби,1984,Гордость и предубеждение,Убить пересмешника
35,Какой город является столицей Империи инков?,Мачу-Пикчу,Куско,Лима,Кито,Куско
36,Какой известный поэт написал 'Ворона'?,Роберт Фрост,Эмили Дикинсон,Эдгар Аллан По,Уолт Уитмен,Эдгар Аллан По
37,Какая страна известна танго?,Бразилия,Аргентина,Куба,Испания,Аргентина
38,Кто главный герой романа Дон Кихот?,Санчо Панса,Дон Кихот,Дульсинея,Росинант,Дон Кихот
39,Какой самый большой музей в мире?,Британский музей,Лувр,Музеи Ватикана,Метрополитен-музей,Лувр
40,Какой город известен своим уличным искусством?,Берлин,Мельбурн,Нью-Йорк,Лондон,Берлин
41,Кто написал балет Лебединое озеро?,Чайковский,Стравинский,Прокофьев,Рахманинов,Чайковский
42,Какой жанр музыки является классическим?,Джаз,Классика,Хип-хоп,Рок,Классика
43,Кто написал «Божественную комедию»?,Шекспир,Данте Алигьери,Гомер,Вергилий,Данте Алигьери
44,В какой стране зародился балет?,Россия,Франция,Италия,Испания,Италия
45,Кто является автором картины «Мона Лиза»?,Ван Гог,Пикассо,Леонардо да Винчи,Рембрандт,Леонардо да Винчи
46,Как называется традиционная японская поэзия?,Хайку,Сонет,Ода,Эпитафия,Хайку
47,Какой праздник отмечают в Мексике 5 мая?,День Мертвых,День Независимости,Синко де Майо,Рождество,Синко де Майо
48,Кто написал «Войну и мир»?,Пушкин,Толстой,Достоевский,Чехов,Толстой
49,Как называется древнеегипетский священный текст?,Коран,Библия,Тора,Книга Мёртвых,Книга Мёртвых
50,Какое произведение написал Шекспир?,Дон Кихот,Гамлет,Илиада,Одиссея,Гамлет
51,Где находится Лувр?,Лондон,Нью-Йорк,Париж,Рим,Париж
