ID,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
1,В каком году началась Вторая мировая война?,1935,1939,1941,1945,1939
2,Кто был первым президентом США?,Джон Адамс,Томас Джефферсон,Авраам Линкольн,Джордж Вашингтон,Джордж Вашингтон
3,В какой стране произошла промышленная революция?,Франция,Германия,Великобритания,США,Великобритания
4,Какая империя существовала дольше всего?,Римская империя,Османская империя,Византийская империя,Священная Римская империя,Византийская империя
5,Какое событие началось в 1917 году в России?,Февральская революция,Октябрьская революция,Гражданская война,Первая мировая война,Октябрьская революция
6,В каком году был подписан Версальский договор?,1918,1919,1920,1921,1919
7,Кто был основателем Монгольской империи?,Кублай-хан,Аттила,Чингисхан,Тамерлан,Чингисхан
8,Какое событие ознаменовало начало эпохи Возрождения?,Падение Константинополя,Открытие Америки,Печать Библии Гутенбергом,Крестовые походы,Печать Библии Гутенбергом
9,Какая страна первой запустила искусственный спутник Земли?,США,СССР,Германия,Франция,СССР
10,Какой фараон построил Великую пирамиду в Гизе?,Тутанхамон,Рамзес II,Хеопс,Хефрен,Хеопс
11,Кто был лидером Французской революции?,Робеспьер,Наполеон Бонапарт,Луи XVI,Дантон,Робеспьер
12,Как называлась война между Севером и Югом в США?,Гражданская война,Война за независимость,Война роз,Война за объединение,Гражданская война
13,Кто был последним императором Римской империи?,Нерон,Август,Ромул Августул,Константин,Ромул Августул
14,В каком году произошла Бостонская чайная вечеринка?,1770,1773,1776,1781,1773
15,Кто написал 'Илиаду' и 'Одиссею'?,Софокл,Гомер,Гесиод,Платон,Гомер
16,"В каком году произошел крах фондовой биржи, вызвавший Великую депрессию?",1927,1929,1931,1933,1929
17,Как называлось правление в Испании в 1939-1975 годах?,Фашистская диктатура,Демократическая республика,Франкистская диктатура,Монархия,Франкистская диктатура
18,Кто был лидером Октябрьской революции в России?,Ленин,Сталин,Троцкий,Керенский,Ленин
19,Какая страна первой признала независимость США?,Франция,Испания,Нидерланды,Морокко,Морокко
20,Какой договор положил конец Первой мировой войне?,Версальский договор,Мюнхенский договор,Договор о ненападении,Брест-Литовский договор,Версальский договор
21,Кто был королем Англии во время Английской революции?,Карл I,Генрих VIII,Карл II,Яков II,Карл I
22,Какая страна первой провела успешное испытание атомной бомбы?,США,СССР,Германия,Великобритания,США
23,Кто был первым канцлером Германской империи?,Адольф Гитлер,Отто фон Бисмарк,Пауль фон Гинденбург,Фридрих Эберт,Отто фон Бисмарк
24,Какое событие ознаменовало конец Холодной войны?,Падение Берлинской стены,Распад СССР,Перестройка,Карибский кризис,Падение Берлинской стены
25,В каком году была основана Петроградская коммуна?,1917,1918,1919,1920,1917
26,Какая древняя цивилизация построила Мачу-Пикчу?,Майя,Ацтеки,Инки,Ольмеки,Инки
27,Кто был лидером Кубинской революции?,Фидель Кастро,Че Гевара,Батиста,Хосе Марти,Фидель Кастро
28,Какой древний город был уничтожен извержением Везувия в 79 году н.э.?,Помпеи,Геркуланум,Стабии,Неаполь,Помпеи
29,Кто был лидером нацистской Германии во время Второй мировой войны?,Адольф Гитлер,Йозеф Геббельс,Герман Геринг,Генрих Гиммлер,Адольф Гитлер
30,Как называлась самая известная древнеегипетская королева?,Клеопатра,Нефертити,Хатшепсут,Исида,Клеопатра
31,"Как называлась первая космическая станция, построенная человеком?",Салют,Мир,Скайлэб,МКС,Салют
32,Какой древний философ был учеником Сократа?,Платон,Аристотель,Гераклит,Диоген,Платон
33,"Кто был первым человеком, ступившим на Луну?",Нил Армстронг,Юрий Гагарин,Базз Олдрин,Майкл Коллинз,Нил Армстронг
34,Какой лидер был ответственен за индустриализацию Советского Союза?,Ленин,Сталин,Хрущев,Брежнев,Сталин
35,Какая древняя цивилизация построила пирамиды в Египте?,Шумеры,Египтяне,Вавилоняне,Хетты,Египтяне
36,Кто написал книгу 'Происхождение видов'?,Чарльз Дарвин,Грегор Мендель,Альфред Рассел Уоллес,Жан-Батист Ламарк,Чарльз Дарвин
37,"Какая страна была первой, признавшей независимость США?",Франция,Испания,Нидерланды,Марокко,Марокко
38,Какой английский монарх был известен своим 6 браками?,Генрих VIII,Елизавета I,Яков I,Эдуард VI,Генрих VIII
39,Кто был первым канцлером Германской империи?,Адольф Гитлер,Отто фон Бисмарк,Пауль фон Гинденбург,Фридрих Эберт,Отто фон Бисмарк
40,Какое событие ознаменовало конец Средневековья?,Падение Константинополя,Открытие Америки,Начало Реформации,Чумные эпидемии,Падение Константинополя
41,Какое событие произошло в 1066 году?,Битва при Гастингсе,Подписание Великой хартии вольностей,Основание Ватикана,Крестовые походы,Битва при Гастингсе
42,Кто был основателем Османской империи?,Мехмед Завоеватель,Осман I,Сулейман Великолепный,Селим I,Осман I
43,Кто был лидером Французской революции?,Робеспьер,Наполеон Бонапарт,Луи XVI,Дантон,Робеспьер
44,Как называлась первая человеческая цивилизация?,Шумеры,Египтяне,Майя,Вавилоняне,Шумеры
45,Кто написал 'Илиаду' и 'Одиссею'?,Софокл,Гомер,Гесиод,Платон,Гомер
46,Какой древний город был столицей Вавилонской империи?,Ниневия,Вавилон,Ур,Ассур,Вавилон
47,Кто был последним фараоном Египта?,Рамзес II,Тутанхамон,Клеопатра,Аменхотеп IV,Клеопатра
