ID,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
1,Что такое H2O?,Кислота,Вода,Газ,Соль,Вода
2,Сколько планет в Солнечной системе?,7,8,9,10,8
3,Кто открыл закон всемирного тяготения?,Альберт Эйнштейн,Исаак Ньютон,Галилео Галилей,Никола Тесла,Исаак Ньютон
4,Какая планета самая большая в Солнечной системе?,Земля,Марс,Юпитер,Сатурн,Юпитер
5,Какая наука изучает растения?,Зоология,Экология,Ботаника,Астрономия,Ботаника
6,Какой химический элемент обозначается символом 'O'?,Кислород,Золото,Серебро,Водород,Кислород
7,Какой ученый разработал теорию относительности?,Нильс Бор,Исаак Ньютон,Альберт Эйнштейн,Галилео Галилей,Альберт Эйнштейн
8,Какое вещество является основным компонентом солнца?,Гелий,Водород,Углерод,Кислород,Водород
9,Какой прибор используется для измерения температуры?,Барометр,Термометр,Гигрометр,Анемометр,Термометр
10,Кто является автором периодической таблицы элементов?,Джон Дальтон,Дмитрий Менделеев,Антуан Лавуазье,Генри Мозли,Дмитрий Менделеев
11,Какая самая распространенная группа крови в мире?,A,B,AB,O,O
12,Как называется процесс превращения жидкости в газ?,Конденсация,Испарение,Замерзание,Сублимация,Испарение
13,"Как называется планета, известная как 'красная планета'?",Венера,Юпитер,Марс,Меркурий,Марс
14,Какой элемент является основой органической химии?,Азот,Кислород,Углерод,Кремний,Углерод
15,Кто первым совершил кругосветное путешествие?,Колумб,Магеллан,Кук,Веспуччи,Магеллан
16,Какой газ необходим для процесса фотосинтеза?,Кислород,Водород,Углекислый газ,Азот,Углекислый газ
17,Какая частица является основным носителем электрического заряда в атоме?,Протон,Нейтрон,Электрон,Фотон,Электрон
18,Какая часть растения отвечает за фотосинтез?,Корень,Стебель,Лист,Цветок,Лист
19,Какой ученый открыл закон сохранения массы?,Лавуазье,Кюри,Менделеев,Бойль,Лавуазье
20,Какое число является основой двоичной системы счисления?,2,10,16,8,2
21,Какое животное является символом Всемирного фонда дикой природы (WWF)?,Лев,Панда,Слон,Тигр,Панда
22,Какая планета названа в честь римского бога войны?,Марс,Юпитер,Венера,Меркурий,Марс
23,Какой минерал является основным компонентом гранита?,Кварц,Графит,Алмаз,Мрамор,Кварц
24,Как называется наука о слоях Земли?,Геология,Астрономия,Физика,Химия,Геология
25,Какой ученый разработал таблицу логарифмов?,Ньютон,Лаплас,Лебег,Непер,Непер
26,Какой элемент самый распространенный в земной коре?,Кислород,Кремний,Железо,Углерод,Кислород
27,Какое животное является самым крупным на Земле?,Слон,Кит,Жираф,Акула,Кит
28,Какой орган в человеческом теле является самым большим?,Мозг,Печень,Кожа,Легкие,Кожа
29,Какой элемент является основным компонентом алмаза?,Углерод,Кремний,Кислород,Азот,Углерод
30,Какая планета является самой горячей в Солнечной системе?,Меркурий,Венера,Марс,Юпитер,Венера
31,Кто открыл закон Архимеда?,Архимед,Галилей,Ньютон,Паскаль,Архимед
32,Какой химический элемент дает цвет пламени в фейерверках?,Натрий,Калий,Медь,Сера,Медь
33,"Как называется сила, притягивающая предметы к Земле?",Магнетизм,Гравитация,Трение,Индукция,Гравитация
34,Какая частица атома не имеет электрического заряда?,Электрон,Протон,Нейтрон,Фотон,Нейтрон
35,"Как называется наука, изучающая организмы?",Зоология,Энтомология,Микробиология,Биология,Биология
36,Какая самая легкая химическая частьца?,Электрон,Протон,Нейтрон,Молекула,Электрон
37,Какой орган отвечает за транспортировку крови по телу?,Печень,Почки,Легкие,Сердце,Сердце
38,Кто является основателем квантовой механики?,Эйнштейн,Бор,Гейзенберг,Планк,Планк
39,Как называется процесс деления клетки?,Метоз,Мейоз,Ферментация,Синтез,Мейоз
40,Какая частица отвечает за химические свойства элемента?,Протон,Электрон,Нейтрон,Кварк,Электрон
41,"Как называется наука, изучающая движение воды?",Гидрология,Метеорология,Астрономия,География,Гидрология
42,Какая планета ближе всего к Солнцу?,Меркурий,Венера,Земля,Марс,Меркурий
43,Кто разработал общую теорию относительности?,Исаак Ньютон,Галилео Галилей,Альберт Эйнштейн,Нильс Бор,Альберт Эйнштейн
44,Что является энергетической станцией клетки?,Ядро,Митохондрии,Рибосомы,Аппарат Гольджи,Митохондрии
45,Какое самое твердое природное вещество на Земле?,Золото,Железо,Алмаз,Платина,Алмаз
46,Какой самый распространенный элемент во Вселенной?,Кислород,Водород,Углерод,Гелий,Водород
47,Кто известен как отец современной химии?,Исаак Ньютон,Мария Кюри,Антуан Лавуазье,Альберт Эйнштейн,Антуан Лавуазье
48,"Какой основной газ содержится в воздухе, которым мы дышим?",Кислород,Углекислый газ,Азот,Водород,Азот
49,У какой планеты больше всего лун?,Земля,Марс,Юпитер,Сатурн,Сатурн
50,Кто изобрел телефон?,Томас Эдисон,Никола Тесла,Александр Грэхем Белл,Гульельмо Маркони,Александр Грэхем Белл
